School,Leadership,Teachers,Other Staff,American Indian/Alaskan Native Count,American Indian/Alaskan Native Average Years in Title,American Indian/Alaskan Native Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American Count,Black/African American Average Years in Title,Black/African American Average Years at School,Hawaiian/Pacific Islander Count,Hawaiian/Pacific Islander Average Years in Title,Hawaiian/Pacific Islander Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School,American Indian/Alaskan Native Count 1,American Indian/Alaskan Native Average Years in Title 1,American Indian/Alaskan Native Average Years at School 1,Asian Count 1,Asian Average Years in Title 1,Asian Average Years at School 1,Black/African American  Count,Black/African American  Average Years in Title,Black/African American  Average Years at School,Hawaiian/Pacific Islander Count 1,Hawaiian/Pacific Islander Average Years in Title 1,Hawaiian/Pacific Islander Average Years at School 1,Hispanic Count 1,Hispanic Average Years in Title 1,Hispanic Average Years at School 1,White Count 1,Wite Average Years in Title,White Average Years at School 1,Multiple Count 1,Multiple Average Years in Title 1,Multiple Average Years at School 1,Unknown/Other Count 1,Unknown/Other Average Years in Title 1,Unknown/Other Average Years at School 1,American Indian/Alaskan Native Count 2,American Indian/Alaskan Native Average Years in Title 2,American Indian/Alaskan Native Average Years at School 2,Asian Count 2,Asian Average Years in Title 2,Asian Average Years at School 2,Black/African American Count 1,Black/African American Average Years in Title 1,Black/African American Average Years at School 1,Hawaiian/Pacific Islander Count 2,Hawaiian/Pacific Islander Average Years in Title 2,Hawaiian/Pacific Islander Average Years at School 2,Hispanic Count 2,Hispanic Average Years in Title 2,Hispanic Average Years at School 2,White Count 2,White Average Years in Title 1,White Average Years at School 2,Multiple Count 2,Multiple Average Years in Title 2,Multiple Average Years at School 2,Unknown/Other Count 2,Unknown/Other Average Years in Title 2,Unknown/Other Average Years at School 2
22K119,2,29,19,*,,,*,,,11,17.8,15.9,*,,,*,,,16,17.7,14.2,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,10.2,7,*,,,*,,,6,5.1,5,*,,,*,,
22K134,2,47,10,*,,,*,,,*,,,*,,,5,13.2,10.8,38,8.9,8.2,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
22K139,4,60,37,*,,,6,5.3,4.5,8,5.3,3.6,*,,,7,6.9,3,35,10.9,9.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,5.8,4.7,*,,,10,3.8,3.6,11,9.1,8.7,*,,,5,2.1,2.1
22K152,3,45,33,*,,,*,,,12,13,8.9,*,,,*,,,30,11.1,9.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,16,10.6,7.3,*,,,*,,,14,7,5.9,*,,,*,,
22K193,3,50,29,*,,,*,,,11,14.1,11,*,,,*,,,36,13.3,12.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,10.4,9.1,*,,,7,5.9,7,13,10.3,8.1,*,,,*,,
22K194,2,49,38,*,,,*,,,*,,,*,,,6,7.1,6.3,36,12.5,10.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,10,6.6,6.8,*,,,5,6.6,5,18,6.8,5.9,*,,,*,,
22K195,2,29,9,*,,,*,,,*,,,*,,,*,,,25,9.8,7.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,9.7,7.8,*,,,*,,
22K197,2,60,34,*,,,5,5.2,5.1,*,,,*,,,*,,,50,11.8,11.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,8.9,8.9,*,,,*,,,24,11.3,8.5,*,,,*,,
22K198,2,33,16,*,,,*,,,13,13.3,12.3,*,,,*,,,18,14.8,13.8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,9.6,6.3,*,,,*,,,6,9.6,9.5,*,,,*,,
22K203,2,49,36,*,,,*,,,8,10.1,9,*,,,*,,,35,15.9,13.6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,12,9.5,7.1,*,,,*,,,19,10.8,9.1,*,,,*,,
22K206,4,104,37,*,,,10,5,3.9,7,12,6.3,*,,,8,7.5,4.9,78,10.5,8.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,13.4,10.6,7,12.5,8.2,*,,,*,,,21,9.5,8.5,*,,,*,,
22K207,4,79,41,*,,,*,,,*,,,*,,,*,,,68,13.1,11.8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,12.1,11.5,*,,,*,,,27,6.5,6.3,*,,,*,,
22K217,4,81,33,*,,,7,8.2,7.8,5,9.7,8.3,*,,,*,,,66,12.9,11.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,13.5,12.2,5,12.2,11.7,*,,,5,10.7,8.8,15,12.7,10.5,*,,,*,,
22K222,3,78,48,*,,,*,,,*,,,*,,,*,,,73,14.2,12.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,12.2,10.7,*,,,5,9.5,9.5,32,11.9,12,*,,,*,,
22K234,5,118,36,*,,,8,5.3,1,15,12.7,9.1,*,,,11,5.5,2.6,81,11.7,8.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,7.6,5.7,*,,,*,,,20,8,6.9,*,,,*,,
22K236,2,38,27,*,,,*,,,*,,,*,,,*,,,34,11.4,10.2,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,21,10.2,9.7,*,,,*,,
22K240,3,53,20,*,,,*,,,14,11.9,8.8,*,,,*,,,27,14.5,12.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,8.8,8.8,*,,,*,,,10,13.8,11.3,*,,,*,,
22K245,1,27,10,*,,,*,,,10,12.3,10.1,*,,,*,,,14,14.1,7.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,8.1,6,*,,,*,,,*,,,*,,,*,,
